,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
1305,12/14/2018,2018,Chevrolet,Bolt,Suffolk,11743,BEV,Lease,3.07,592.89,2000
1306,12/31/2019,2019,Chevrolet,Bolt,Saratoga,12866,BEV,Purchase,3.07,592.89,2000
1307,01/14/2019,2019,Chevrolet,Bolt,Ulster,12484,BEV,Purchase,3.07,592.89,2000
1308,05/28/2019,2019,Chevrolet,Bolt,Westchester,10583,BEV,Lease,3.07,592.89,2000
1309,10/25/2019,2019,Chevrolet,Bolt,Saratoga,12065,BEV,Purchase,3.07,592.89,2000
1310,01/18/2019,2019,Chevrolet,Bolt,Erie,14001,BEV,Purchase,3.07,592.89,2000
1311,03/12/2019,2019,Chevrolet,Bolt,Washington,12865,BEV,Purchase,3.07,592.89,2000
1312,11/26/2019,2019,Chevrolet,Bolt,Monroe,14580,BEV,Lease,3.07,592.89,2000
1313,12/31/2019,2019,Chevrolet,Bolt,Warren,12804,BEV,Purchase,3.07,592.89,2000
1314,04/24/2019,2019,Chevrolet,Bolt,Schuyler,14818,BEV,Purchase,3.07,592.89,2000
1315,05/03/2019,2019,Chevrolet,Bolt,Tompkins,14850,BEV,Purchase,3.07,592.89,2000
1316,12/19/2019,2019,Chevrolet,Bolt,Nassau,11756,BEV,Purchase,3.07,592.89,2000
1317,08/26/2019,2019,Chevrolet,Bolt,Ontario,14469,BEV,Purchase,3.07,592.89,2000
1318,11/14/2019,2019,Chevrolet,Bolt,Erie,14220,BEV,Purchase,3.07,592.89,2000
1319,08/23/2019,2019,Chevrolet,Bolt,Onondaga,13031,BEV,Purchase,3.07,592.89,2000
1320,10/08/2019,2019,Chevrolet,Bolt,Onondaga,13027,BEV,Purchase,3.07,592.89,2000
1321,11/04/2019,2019,Chevrolet,Bolt,Ulster,12401,BEV,Purchase,3.07,592.89,2000
1332,09/17/2018,2018,Chevrolet,Bolt,Erie,14214,BEV,Purchase,3.07,592.89,2000
1333,11/27/2018,2018,Chevrolet,Bolt,Queens,11691,BEV,Purchase,3.07,592.89,2000
1334,12/27/2018,2018,Chevrolet,Bolt,Suffolk,11719,BEV,Lease,3.07,592.89,2000
1335,11/27/2018,2018,Chevrolet,Bolt,Ulster,12401,BEV,Lease,3.07,592.89,2000
1336,10/18/2018,2018,Chevrolet,Bolt,Monroe,14450,BEV,Purchase,3.07,592.89,2000
1337,03/29/2019,2019,Chevrolet,Bolt,Erie,14127,BEV,Purchase,3.07,592.89,2000
1338,03/24/2019,2019,Chevrolet,Bolt,Tompkins,14886,BEV,Purchase,3.07,592.89,2000
1339,09/17/2019,2019,Chevrolet,Bolt,Richmond,10305,BEV,Purchase,3.07,592.89,2000
1340,11/27/2018,2018,Chevrolet,Bolt,Suffolk,11790,BEV,Purchase,3.07,592.89,2000
1341,10/30/2018,2018,Chevrolet,Bolt,Warren,12804,BEV,Purchase,3.07,592.89,2000
1342,10/29/2018,2018,Chevrolet,Bolt,Ulster,12525,BEV,Purchase,3.07,592.89,2000
1344,01/03/2019,2019,Chevrolet,Bolt,Orange,12553,BEV,Lease,3.07,592.89,2000
1345,09/19/2019,2019,Chevrolet,Bolt,Nassau,11803,BEV,Lease,3.07,592.89,2000
1346,10/08/2019,2019,Chevrolet,Bolt,Onondaga,13041,BEV,Purchase,3.07,592.89,2000
1347,03/25/2019,2019,Chevrolet,Bolt,Rockland,10960,BEV,Purchase,3.07,592.89,2000
